epoch,gen_total_loss,gen_gan_loss,gen_l1_loss,disc_loss,gen_total_loss_val,gen_gan_loss_val,gen_l1_loss_val,disc_loss_val
1,0.0075487054311578,0.6485515628581737,0.2360292739317853,1.7901438549308493,0.0114892097166969,1.1650901403757603,0.2168488216872262,1.523033056164732
2,0.0067172226278194,0.6798844296669606,0.1278146952685743,1.603730798564335,0.0073423092963524,0.7792746787024016,0.1108111592950207,1.4971130786555829
3,0.0064491991166919,0.6835207645550813,0.0981032766567746,1.5136944016017535,0.0070708556912175,0.7396451554676093,0.1153694203953341,1.4641127421124147
4,0.0063684873645986,0.6955911942785329,0.0803757565409535,1.4522235443391422,0.0064355794865969,0.7025795604922984,0.0814942761370451,1.414684579396012
5,0.0062424164801365,0.7003024857823211,0.0639996333554903,1.4238477946508048,0.006413647613608,0.7176430767125422,0.0672502752024643,1.403636127179212
6,0.0061758507976751,0.6984068951541834,0.058859538774716,1.4174547052029336,0.0061946504315969,0.6975997044308351,0.0613852559524302,1.3894325317722735
7,0.006167521033353,0.7008908823427588,0.0560393729348583,1.4057692202010956,0.0061516231654377,0.6985591215662437,0.0563149945828879,1.389676578918306
8,0.0061214677546874,0.6972684553206557,0.0543319866955649,1.4080633818513095,0.0062768588285192,0.7142430539178376,0.0562914134030885,1.3931163686336858
9,0.0061322041238556,0.6993058908693861,0.0537756749013863,1.4007064516591554,0.0061880961438585,0.6954179430952167,0.062475234299603,1.386917963830551
10,0.0060908634146435,0.6951479941754057,0.0529679211857037,1.4069048908087287,0.0063257473613144,0.7152502490742372,0.0603745117119633,1.389359961641897
11,0.0060945583343745,0.6967372944892043,0.0520659725172537,1.400914323861056,0.0063187574488249,0.7203791794210377,0.0555723754338698,1.3906359769330163
12,0.0060920641679169,0.6971397357411904,0.0514946028396561,1.3984658528672589,0.0062114297080379,0.7060028154071015,0.0563406919267508,1.3843834208970025
13,0.0060828466307242,0.6968402951955796,0.0508124013472864,1.3965393526129204,0.0059411998201936,0.6675325111587449,0.0600939495950052,1.3860578057789563
14,0.0060752231069831,0.6960976392325788,0.050644174220483,1.3989207970033777,0.0060879220909411,0.6963767892063254,0.0516907528596054,1.3888815950639175
15,0.0060568820848821,0.6958967356103481,0.048970795373921,1.3974636598978891,0.006129258594448,0.7034232091195513,0.0501872669315279,1.388660716538382
16,0.006042426818576,0.6950987082896847,0.0481636901330756,1.3981012653006186,0.0060393641416979,0.6938828902669473,0.0488300753351632,1.3868499996638537
17,0.0060550755539927,0.6977752512339318,0.0472873291374175,1.3920203012405057,0.0061168713845533,0.7028410424100291,0.0494142779637828,1.3872145570150696
18,0.0060412612151225,0.6963818370410712,0.0470206263166216,1.3956044557661114,0.0061721376567562,0.710940432312465,0.0484613939234525,1.3887996602766584
19,0.0060310348458034,0.696135352242111,0.0461951777306708,1.3955118886905142,0.0060760275128823,0.6980494893423401,0.0491631334057391,1.3871137434893317
20,0.0060414440494196,0.6977722608216919,0.0459265712630188,1.3926715466645685,0.0062098912820957,0.7170620162888328,0.047339489766498,1.3887892720722916
21,0.0060474905941524,0.699132522616056,0.0454430161984545,1.3913308229776893,0.005922238842243,0.6842186415549552,0.0448489464137076,1.387053670505486
22,0.0060219038817293,0.6968507575221581,0.044709757156209,1.3946429242592049,0.0062267192805388,0.7166049957275391,0.04938790545347,1.3883360595986394
23,0.0060200009711713,0.6967995434999465,0.0445604375356089,1.3926983659220211,0.0059871893228575,0.6908216533094349,0.0460615845470882,1.3883044807037506
24,0.0060020539810475,0.695074168098445,0.0441460376222719,1.3960890733369506,0.005956001466343,0.6901437633108385,0.0434851111337026,1.3872067295678772
25,0.0059955327969855,0.6946731791932984,0.0438147104363704,1.3963885397604197,0.0059395711490939,0.6860528233027694,0.0451148307153789,1.3865415851668557
26,0.0060084702396341,0.6968292663593103,0.0433835852720617,1.391953855398858,0.0060362451783575,0.6957260147179708,0.0470436813567977,1.3879483137980546
27,0.006001474216147,0.6960732242553541,0.04328881649365,1.392777942312826,0.0061982434869992,0.7169793869009112,0.0462408130601196,1.3881975358075436
28,0.0060024551337234,0.6962654023772419,0.0432331663777701,1.3927067668721227,0.0060498233571058,0.7014534561940939,0.0438195468608917,1.387029539712585
29,0.0060058822276734,0.6968247583006868,0.0431283909652271,1.3912163808794304,0.0060167813876477,0.6966469959457322,0.0443605160395992,1.3883007651508446
30,0.0059963837680914,0.6960747442918249,0.0427785553821906,1.392663328954489,0.0059962536079237,0.6923083764491695,0.0457786339676321,1.3877407099940988
31,0.0059882691047052,0.6949798843058029,0.0428429782376763,1.3947083968927363,0.0060756482810962,0.7029231771384136,0.0452262608131559,1.3872340261346043
32,0.0060041453055391,0.6975536966382867,0.0423715487412997,1.3894331221533294,0.0060467788672978,0.6991631525577885,0.0453473394994836,1.3874774066528472
33,0.0060014698654413,0.6972872759741131,0.042317140598016,1.390358721206684,0.0060501990470998,0.7024937360593588,0.0430248894977687,1.3872049678670295
34,0.0059821336786032,0.6950950440793935,0.042137307576872,1.3953420971879864,0.0059479257497604,0.6907122941300421,0.0422227133941458,1.3883825734110162
35,0.0059714454106322,0.6939887590337508,0.0419535083751572,1.3943436897037054,0.0059941974191898,0.6949311189132161,0.0434748205217984,1.386930693258153
36,0.0059699246512338,0.6939544354039844,0.0418288921743705,1.394989023586311,0.0061124389401019,0.7093383813848589,0.0437731632842949,1.388956318043246
37,0.0059912606709553754,0.6969045119415416,0.04160243184674568,1.3910584291019061,0.006130089485409236,0.710701310162497,0.044447875242348354,1.3883210179829362
38,0.005976349921749518,0.6952224923832582,0.04145697223133232,1.3916385961051034,0.0059926569157529,0.6958560113859649,0.04258085755391581,1.3871214838311223
39,0.0059776874259114265,0.6954072150558528,0.04144294518691552,1.3923957684842667,0.006070755048664195,0.7045784062678271,0.04341275441819931,1.3885194714706723
40,0.005981731601520488,0.6961980861602444,0.04121466563544282,1.3916713404773486,0.006005776384015484,0.6954087040211895,0.04425064975967501,1.387613359300217
41,0.005979834345519764,0.6958704488407267,0.04128705003474018,1.3909717664860262,0.0059563063435477785,0.6906590346062538,0.043103382081752364,1.388384495867361
42,0.005982348784380177,0.6962779316866752,0.04121250815339165,1.390901106477964,0.0060337827799122525,0.7019893910625193,0.04178673828961235,1.3876240692516364
43,0.005971085944784676,0.6953009136242442,0.04086783825060224,1.3927724369681709,0.006097822692614086,0.7079449337307769,0.04342629739848694,1.3882985700475108
44,0.005980865280651073,0.6964922393902694,0.04089271144268315,1.390343050496413,0.0059598346056398185,0.6891514820627647,0.044662249104885185,1.3874447798965002
45,0.0059679251399333815,0.6950623560364884,0.04074260371847834,1.3927209491186803,0.006018090108870575,0.7001076348937384,0.041722877792055066,1.3875931817706268
46,0.005967565471223454,0.695451344151308,0.04039544678237843,1.3915788370193822,0.006008854947320306,0.6973662430697148,0.0429924756611264,1.3884206389436626
47,0.005968955897790665,0.6956308976848526,0.04039084655970409,1.391902905702591,0.005969130849963662,0.6941126885980663,0.04162290835439569,1.3876406391068261
48,0.005964293924741225,0.6951286626334238,0.04032643758138586,1.3922020695587196,0.005998007787188681,0.6972460315959288,0.04200392918071092,1.3874831168958457
49,0.0059580910524427155,0.6946453648628574,0.040092788092183446,1.3925825418222069,0.00598093045801662,0.694213358010396,0.04272233538218949,1.3863664622354035
50,0.00596208154030218,0.6950014268112654,0.04020698702442321,1.3916198300253046,0.0060254796537211035,0.6997371749122544,0.04275819917974791,1.3873193079882329
