epoch,gen_total_loss,gen_gan_loss,gen_l1_loss,per_loss,disc_loss,gen_total_loss_val,gen_gan_loss_val,gen_l1_loss_val,per_loss_val,disc_loss_val
1,3.982484995728672,2.65433544114896,0.1949554858046888,659.8834549630043,0.6663842464400695,2.444629964379981,3.4557532863802103,0.1286740211935916,402.6161960866192,0.8021209568061893
2,2.171493310783759,4.406675507651992,0.1164055364390853,355.84597212725345,0.309146834511107,2.284908990753759,3.662489756324448,0.0969877885341054,375.7731958370397,1.0303329782200847
3,2.056964896088189,5.429833283548308,0.1069144859762475,335.4095109901806,0.2541202551738294,2.2705280640337726,3.340261972630408,0.0876466872299661,373.8215793269696,1.7342124906211795
4,1.9713741974812924,4.909263273896557,0.1007917716951653,321.8486922858965,0.4056979145264566,140.49069957922,248.05966643863496,1.7321614759651447,23081.483081190658,0.6170945952546146
5,1.9558104786911223,4.172855292349168,0.0960734434647135,320.2444802406991,0.5161753102399335,1.991473930867592,1.9310341120111767,0.0712983972383755,329.21877683885026,2.653601833318572
6,1.844042061320921,4.466431269064398,0.0852347287395507,301.24304095447656,0.509222347608832,2.5572143958051607,12.007406837666077,0.1179434217660143,409.99594621563904,1.7013340405585005
7,1.8035736790978083,4.477872675185156,0.0824706477398919,294.487662650571,0.561911604897405,3.914632424741688,23.64822041202235,0.1668068034795694,620.6297616486502,1.3347966905498858
8,1.7366610794448023,4.638612992401318,0.0799062102184732,283.1255160841611,0.5666970898127552,1.6865334331841753,0.2014890890573429,0.0539883562483557,280.73026923377915,3.817958957192921
9,1.7019556912602765,4.110586546147519,0.0784314686008314,278.0477783089817,0.6451881017222411,26.73220231922546,148.40928375579088,0.958434648055694,4255.890567726664,1.0273207862299008
10,1.664047608399155,3.6237715477916863,0.0761426524950726,272.3826653272799,0.7214751473249923,6.234813022200424,29.838960082945185,0.2963493754902836,998.8562976308388,1.3360823931670425
11,1.630910098596965,3.740706252852584,0.073574938114253,266.7081136996203,0.6884528521678899,1.9540242795011784,1.0581699077731768,0.068788494651049,324.14516884832096,2.8614071074098644
12,1.6056457987073625,3.647034945527073,0.0707943386001752,262.62692682719467,0.7052299643543982,2.563455850948201,3.443583667803773,0.0912671250355715,422.499082334915,2.9655396578851905
13,1.6102456914906456,3.3953867978425603,0.0682882511849966,263.7332835688449,0.7677689762767589,52.06841140815822,23.15955858936544,1.4397362077405842,8644.789445929951,13.487334825747674
14,1.594980200461232,2.584717206004085,0.0663491160424407,262.2731596842851,0.8781271733048529,1.8571979170683588,4.112347988732676,0.069186457137734,303.9345409582157,3.6568114659573774
